ticker,short_pct,n_events,avg_composite,avg_return_5d,median_return_5d,hit_rate_5d,avg_win_5d,avg_loss_5d,best_5d,worst_5d,avg_return_10d,median_return_10d,hit_rate_10d,avg_win_10d,avg_loss_10d,best_10d,worst_10d,avg_return_15d,median_return_15d,hit_rate_15d,avg_win_15d,avg_loss_15d,best_15d,worst_15d,avg_return_20d,median_return_20d,hit_rate_20d,avg_win_20d,avg_loss_20d,best_20d,worst_20d,avg_max_gain_20d,avg_max_dd_20d
GME,0.1604,68,0.528988988830245,0.022130608429376766,-0.01524136072139154,0.47058823529411764,0.15034107777615008,-0.09183425321219953,1.4842964225831516,-0.4659923831441497,0.020108104885112256,-0.025145620250287826,0.4264705882352941,0.1890954132847573,-0.10554912443770072,2.6251145545562906,-0.4859290935041728,-0.006416107353144888,-0.0303170818845116,0.4264705882352941,0.14444693776726916,-0.11859632039140153,0.935838784108062,-0.4696025577074382,0.001032360138703988,-0.04148119219741647,0.38235294117647056,0.21843044784569934,-0.13354740844181695,1.9239949129382814,-0.474758299384166,0.1794960733337791,-0.11679510235214206
AMC,0.2354,64,0.5161482238046919,-0.01422046008094926,-0.026405600711417787,0.34375,0.10295717677809679,-0.0774431057146069,0.7178683137229696,-0.33789060506387647,-0.02742112004959458,-0.0486578460919142,0.265625,0.18349893144658602,-0.10371135144183011,0.8451178337657379,-0.390624994179234,-0.04988298643247953,-0.06558842419953803,0.296875,0.1658410533221739,-0.14096646988444433,0.7037036680256525,-0.7837890716822584,-0.07376878746969753,-0.0804257274068696,0.21875,0.20436649188108605,-0.15474149559991526,0.8150469774279643,-0.73359374726424,0.12687739733455555,-0.14630191177615354
BB,0.0436,67,0.5118472155231947,-0.0009988368214809682,-0.010452952120563075,0.417910447761194,0.07188175413958017,-0.054726610077564984,0.31229237880355853,-0.19805191889804785,0.007531216406334573,-0.002531643124693339,0.47761194029850745,0.10369164417801421,-0.0827512092491776,0.420863341127677,-0.26111106769538106,0.008179281680310313,-0.007894729412163293,0.47761194029850745,0.12201253539942859,-0.0958968360057407,0.5310078156939311,-0.2365339566685677,0.014516678647106873,-0.0021008883195338113,0.4925373134328358,0.13323927444527692,-0.10071407609817581,0.5369650390222573,-0.32142861304298376,0.1242043478531764,-0.08628573230949882
KOSS,0.0398,56,0.5271518560719526,-0.005405122058814146,-0.01919033332456782,0.35714285714285715,0.09071868412459008,-0.06048744336529696,0.4969879187127637,-0.2318840967810123,-0.0021790780052876324,-0.022495348426463113,0.4107142857142857,0.10730666824409661,-0.08094005430969779,0.584337450195112,-0.2922143825074729,-0.013016246142165884,-0.04548468014509943,0.35714285714285715,0.13876743530147362,-0.0973405136108545,0.39156625857113014,-0.3114257121965298,0.01032909985508629,-0.05256383821528249,0.4107142857142857,0.19349523503762206,-0.11733214587819618,0.90036228394288,-0.3114257121965298,0.13616064432807162,-0.1033351900535173
BBBY,0.0,60,0.514113983370531,0.0033881954367829944,-0.019423857444870463,0.48333333333333334,0.10366613811443415,-0.09042020255198742,0.3986332695269439,-0.3356299112820049,0.007942348163824062,0.00748463883228212,0.5166666666666667,0.16195066894719348,-0.1566872361218467,0.6133333841959636,-0.37696850208926014,0.020408117906407775,0.025222001692038698,0.5333333333333333,0.2144008623591649,-0.20129787575388608,0.6296296653076807,-0.38781432975880714,0.03177980842938137,0.01058229780360298,0.5,0.2712259457601916,-0.20766632890142891,0.7599338048968649,-0.425485956785578,0.19572689194716336,-0.15302483241142306
PATH,0.2746,75,0.5121466994577634,-0.01151211889424466,-0.01815824001439459,0.41333333333333333,0.06361317533119831,-0.06444130346217039,0.19938415690710576,-0.3838693414594109,-0.012061736182558874,-0.013209019254514232,0.44,0.08532943975402792,-0.08858337441844849,0.28563569137398703,-0.4180327951771484,-0.014706288446125978,-0.02322639938011173,0.41333333333333333,0.12471758301802228,-0.11293674334132137,0.3742432145574053,-0.4114344235240831,-0.013470823013104217,-0.021083101183226316,0.41333333333333333,0.13185080763662152,-0.11585651733450188,0.4120136180177645,-0.4440694377910511,0.09936449123607873,-0.10128526373712744
AFRM,0.061100002,90,0.5195993111443289,0.01285670589601437,-0.0021363236732736546,0.4888888888888889,0.09526431815609258,-0.06596796670058218,0.31059966811556383,-0.19236718203444758,0.030444377976688752,0.00662736242737505,0.5333333333333333,0.1393457942880034,-0.09401438352195653,0.45144796025263223,-0.23212878194684217,0.04534563830269522,0.0018288060664590766,0.5111111111111111,0.18829015741141802,-0.10409635894733314,0.5445902533363058,-0.36095832510511394,0.06308120466003382,-0.01102155548139877,0.4777777777777778,0.25392175165455416,-0.11151759365410183,0.9375353633905184,-0.37536003142056074,0.1786993061065867,-0.10073033054579861
COIN,0.1201,70,0.5136657712761794,0.00920528901504186,-0.008840084285172967,0.4714285714285714,0.09622079622778874,-0.06840313633686754,0.21167885376101525,-0.17671165709602965,0.03483770960402784,0.010909357934407726,0.5142857142857142,0.16718507737832816,-0.10529479745111364,0.4751921530374372,-0.2982399745064577,0.05246653270020252,0.021232849312401658,0.5142857142857142,0.2347634460325977,-0.1405537284752747,0.7170977868178166,-0.3120304448703376,0.07007356289313567,0.02506530767898285,0.5142857142857142,0.28344689132878215,-0.15585113780343113,0.7387822883274147,-0.2952298566115563,0.20116361900363142,-0.12125286019956094
BBAI,0.2824,77,0.5345031409473143,0.017008328097589582,-0.016250014305114746,0.4675324675324675,0.14910789154236703,-0.10145607080027035,0.6293279528748912,-0.3786666870117188,0.036833984014942416,-0.0237718061375064,0.4805194805194805,0.22316567362247736,-0.13552282887202738,0.8252687929117388,-0.4133333206176758,0.03842772836315599,-0.0352112350897088,0.4155844155844156,0.3072662746645296,-0.1562178569386803,1.0403226059714497,-0.4426666895548502,0.06047293158620269,-0.02127657550770312,0.44155844155844154,0.33708685369950625,-0.16201279270584776,1.0990566271146718,-0.5912500023841858,0.27256693836077384,-0.15984039367611172
NVAX,0.31370002,77,0.5096114394519358,0.01671449904189703,-0.009456255714577644,0.44155844155844154,0.14120510717456658,-0.08171993529556261,1.8859060903842209,-0.3069427489911787,0.04590486883067185,0.0025348518713501633,0.5064935064935064,0.2013495963856441,-0.1136305094494312,2.512304372746291,-0.2842535591896811,0.07996999204712596,-0.019744492807512115,0.44155844155844154,0.3245865970107051,-0.11344778862175053,2.4116332697514866,-0.3527607263254001,0.08707337263767556,-0.027624339334029746,0.4155844155844156,0.38544143153821475,-0.12509946924715232,3.375839012087236,-0.38343554453488526,0.2444112365529849,-0.1251690116588221
AI,0.3319,74,0.525550799641016,-0.012479094216250257,-0.015224610888678991,0.4189189189189189,0.06463043699917588,-0.06806968648783655,0.28023184343185403,-0.2799223601730788,-0.025026282404427218,-0.032963875102391016,0.44594594594594594,0.07184332301013338,-0.1029945013966345,0.3083842897621436,-0.30923201945994294,-0.029040441302294894,-0.03134741444481759,0.40540540540540543,0.102651074496854,-0.11883011116535096,0.3674313802819893,-0.40645840704587577,-0.03319526964910258,-0.04005159934106828,0.40540540540540543,0.12301714130795689,-0.1397037316652795,0.4136893545271161,-0.3899614145176078,0.10090356406093128,-0.13004324839022624
MARA,0.3858,78,0.5181624404051602,0.007864440622815909,0.0018336947533950099,0.5128205128205128,0.10121869635711962,-0.09040319699224064,0.3186157565431105,-0.2655888940580772,0.03581323724219094,0.008858623909729468,0.5256410256410257,0.17259496189073725,-0.11575570088187391,0.6772076507439855,-0.3338831775056952,0.032384025135908975,-0.0044129309318913235,0.48717948717948717,0.22161546550489666,-0.1473858432146293,0.8088803525968387,-0.40910707044826966,0.04224112589485924,0.00974521755209623,0.5128205128205128,0.2535000086690712,-0.18013664544641653,1.2669356028321666,-0.38860107239765795,0.2225596113586325,-0.1408050585164163
RIOT,0.1341,74,0.5257282626262161,0.0021042292843756892,0.009241490192200441,0.527027027027027,0.09741346268538863,-0.1040974879338959,0.4881565141602957,-0.27083330021964025,0.01618144073938372,0.02573126069867704,0.5675675675675675,0.14163464918650528,-0.1484758953474633,0.563451778287982,-0.33352276772753175,0.018417366438074095,0.00567754834443801,0.5135135135135135,0.19707117640164903,-0.1701616551901439,0.5931033564237609,-0.4206263889297982,0.026619771087215704,0.01481317076287314,0.527027027027027,0.21206121453160812,-0.18530953841996334,0.6476623779960269,-0.4335853395337954,0.19049040802647663,-0.14503614164287387
SMCI,0.1895,77,0.5244688021961346,0.007436273319256232,-0.009257970539011562,0.45454545454545453,0.12532607119272948,-0.09080522490863814,0.5604765358083581,-0.4360748907720592,0.0103514884104748,-0.015884473153573997,0.4805194805194805,0.179198571515592,-0.14583206346175862,0.5595254989882783,-0.55822473056176,0.032182009214789684,-0.0024849457785931506,0.4935064935064935,0.23147240933892474,-0.16199838064975217,0.9535574443551447,-0.4244706622048997,0.05374133269235631,-0.010406590231162194,0.4675324675324675,0.32434068480768763,-0.18385809843330053,1.2765048764447506,-0.5456448591800781,0.20698813143897413,-0.1504170112381984
IONQ,0.2369,80,0.5152511969232036,0.020392225272019636,-0.0014892018221925318,0.4875,0.13085856084339112,-0.08680264627826706,0.626346029456144,-0.41678877238060186,0.023569611805761965,-0.00959751583954016,0.4875,0.18185277731962052,-0.12699242368303032,0.6839945185253733,-0.4224709858833273,0.03818202168163977,-0.00025551028058468095,0.5,0.22856819698024725,-0.1522041536169677,0.8372093131840745,-0.3974999785423279,0.07306641605788958,-0.022088939922176032,0.4625,0.3444466613126187,-0.16044681823106338,1.1935177055231834,-0.4593884655804227,0.2373828767721844,-0.1413438307586783
RGTI,0.1354,77,0.5308946189677202,0.03650960106191243,-0.021151621660935316,0.42857142857142855,0.2401680674098075,-0.12176921292277118,1.372990470539397,-0.6819137726011281,0.11477762049508775,0.009615375798129211,0.5194805194805194,0.36870997725626964,-0.15974384627375748,2.4372990163891695,-0.6081605987592474,0.1931884555570075,-0.026624067184169542,0.44155844155844154,0.6399474352408203,-0.1638738504832932,3.964630257618566,-0.43405047444183953,0.2974733158370494,-0.010775800719058148,0.4675324675324675,0.8460102389601188,-0.18416886056369458,6.018181475331968,-0.49769259566179413,0.500316359626403,-0.16881631480126605
CVNA,0.1058,99,0.5434419369425777,0.029291363681515685,0.01795023832249809,0.5858585858585859,0.09275983448324197,-0.06049330233068248,0.5522099215848171,-0.1884002832246513,0.05650419175300397,0.04462480216818743,0.6161616161616161,0.14940058832735886,-0.09261897116898683,0.5185136096352116,-0.23394367405122296,0.08049820190623058,0.054224943800658565,0.6767676767676768,0.17971990280548036,-0.12724723435157365,0.7839506767886637,-0.36381382220365455,0.09623093990186322,0.07156159272728546,0.6565656565656566,0.21544902584234107,-0.1316859891019915,0.7783835862803032,-0.3751685765329338,0.20580064326545372,-0.09689637384725013
UPST,0.3,77,0.513037932850465,0.004984588630503718,-0.01091042170846912,0.4675324675324675,0.11163421096336923,-0.0886589821983538,0.37213443476060815,-0.27995489042666966,0.009900320706100293,-0.0021218393072774955,0.4675324675324675,0.16576290788635414,-0.12695463389119574,0.6092689378727558,-0.49308489653168563,0.02289854637827346,0.006501934135869414,0.5064935064935064,0.20203250946041132,-0.16094946836392066,0.665615898295957,-0.5146309656776111,0.038942076948395674,-0.023121345269228155,0.45454545454545453,0.29365738518369233,-0.17754801357079913,0.918179274146548,-0.5708254695814974,0.20215415380158414,-0.1447390139962862
BYND,0.3191,54,0.5115116450635787,-0.0018115356061910583,-0.005104161857161615,0.46296296296296297,0.10005233822145045,-0.09282612065252063,0.4040697219082967,-0.48463685253371025,-0.03202499438608567,-0.04158488371214364,0.3888888888888889,0.12151672394644433,-0.13378752811637368,0.5159883912332381,-0.6452513944157305,-0.06065540634021848,-0.04360388484506178,0.35185185185185186,0.12910249055754774,-0.1684805665578001,0.3441295120594916,-0.7689655190840912,-0.06707292502694374,-0.07648869848910828,0.4074074074074074,0.134976060644345,-0.20598160267595472,0.32511566791442736,-0.754578750180124,0.13621757349656505,-0.16388736504291354
FUBO,0.1602,69,0.5297873458125268,0.023915659727973,-0.020066870430825556,0.463768115942029,0.16558410077006802,-0.0986083973895146,2.0902775225264154,-0.25316452894723607,0.0014623787004383725,-0.05540161082465289,0.391304347826087,0.1919282653382051,-0.12097997699526877,1.5486110628203127,-0.35864976610834465,-0.010017710687560567,-0.04635757197675372,0.36231884057971014,0.2156995708357953,-0.13826616609855824,1.7430554796700153,-0.4430379256576631,0.03002255677691519,-0.029220752077492862,0.42028985507246375,0.29510964026714614,-0.1621655787535024,2.1805553761897336,-0.5021097027312509,0.2019377847530672,-0.14747087294749717
CLOV,0.0921,71,0.5003304732911752,0.01580797495483504,0.00923076042762161,0.5492957746478874,0.09125833295859587,-0.07614714886224848,0.7005347907210804,-0.2492492320487273,0.027205211606342983,0.013785738688312232,0.5211267605633803,0.15625491190142815,-0.11666247625159064,0.7807486177619163,-0.3104395829325576,0.037818925385345335,-0.017291049649809875,0.4647887323943662,0.22009371373241232,-0.12047233817921281,0.7966102265676964,-0.362637399345934,0.04115864283827841,-0.035714311780456365,0.4225352112676056,0.26195318510888926,-0.12340829779372275,0.8813559093729215,-0.3269230832211162,0.17397721792486212,-0.1126506886676172
SKLZ,0.16790001,73,0.5112779157694037,-0.014851160459638142,-0.01097181354322141,0.3561643835616438,0.0687036198873511,-0.06240062675271115,0.3850467251402725,-0.31441046337605993,-0.030008036241379155,-0.02799375321058617,0.3698630136986301,0.08761576997700046,-0.10124916522221537,0.3045774773517034,-0.3377001067643274,-0.03584920817423855,-0.04782607523840643,0.4246575342465753,0.09801103163207563,-0.13465081374556567,0.33958324434029086,-0.3309523641927975,-0.03929841005647284,-0.06329120582110359,0.3424657534246575,0.13491184032078968,-0.13003291546129706,0.36458331884609385,-0.4269231178351398,0.08502848521556258,-0.1353790022880343
SOFI,0.1019,88,0.5003650103280417,-0.001168954250140137,-0.006780735998687504,0.48863636363636365,0.07154842488709333,-0.07065444987016323,0.21164021591186954,-0.20546444983412315,0.002219074880592391,-0.004591149446117659,0.4659090909090909,0.10289475156895393,-0.08940902721855513,0.2988282037016099,-0.2419213580988815,0.016929124902757206,0.005487070228003543,0.5227272727272727,0.12568710607041017,-0.10467911921454227,0.4158978386721497,-0.27598252402197365,0.034356136305083135,-0.0012684239133670672,0.48863636363636365,0.16631184470613505,-0.09173487394481089,0.48757976277402393,-0.28122273542950116,0.12272886075808023,-0.096111617293282
PLTR,0.0238,93,0.5007116010187384,0.01977252864627313,0.012345699685059941,0.5698924731182796,0.07625540855214194,-0.055067287229003045,0.498205757523732,-0.18663157024190402,0.04173768745768489,0.026353330670889186,0.6236559139784946,0.11298310281159715,-0.07632614370022685,0.4657693980925621,-0.20891156757029883,0.061458355523233386,0.05381160741377,0.6666666666666666,0.1407855319292108,-0.09719599728872154,0.5412618477752542,-0.26915323142733705,0.07832610496819076,0.07243208814368707,0.6666666666666666,0.16654003954618646,-0.09810176418780063,0.5335978927960954,-0.2620967625641303,0.15572344050797474,-0.07775330285680702
RIVN,0.132,62,0.5226810307387559,0.0016144113917181868,-0.00832106063578919,0.45161290322580644,0.09717849399208621,-0.07708542133799665,0.531212512756682,-0.29893013828637394,-0.0022638005998930244,-0.02506295054189145,0.46774193548387094,0.12377495826772658,-0.1130251341502254,0.4399759898464024,-0.31781993904660366,0.01660985833202382,-0.02957056820216819,0.46774193548387094,0.18090206132284206,-0.12776813823566494,0.6738845545934125,-0.33067970874213914,0.011621058225533325,-0.0424360517129867,0.43548387096774194,0.21233947816138646,-0.143218865724982,0.6590636040096911,-0.3084555446245518,0.16085928373070255,-0.1188029601612195
LCID,0.42540002,48,0.49665128697847294,-0.009135733128041902,-0.021201187867666782,0.3958333333333333,0.0962766093976397,-0.07819899202417814,0.34334765072761675,-0.3308605719125318,-0.03347008689494186,-0.046388129420727064,0.3125,0.1340243486373309,-0.10960392122779312,0.36086953204611083,-0.35608307799199324,-0.05990377927176951,-0.059274273962987956,0.3125,0.10034915743253496,-0.13274602322827153,0.3539095703222195,-0.359050448294836,-0.09140661982901699,-0.11399981778490587,0.22916666666666666,0.09862612673801774,-0.14790284178137864,0.23868318216090523,-0.33073500632865904,0.10622657583189044,-0.13936624352992155
NIO,0.0769,64,0.5227849610823461,0.004032407393103957,-0.012783459262009966,0.421875,0.10250953407528726,-0.06782927964524604,0.3214989314427634,-0.18375247042226195,-0.014828494073237287,-0.0340104457751812,0.421875,0.11152585023917762,-0.11000615492069395,0.44886359685298327,-0.26499034888984563,-0.03024955097081539,-0.049663293112364615,0.359375,0.14241791526143188,-0.1271117881254907,0.4313252821008777,-0.3658536770363323,-0.04010374215846674,-0.0690021344750179,0.3125,0.17470793601840123,-0.1377454140570431,0.6939759152429439,-0.35098039124022073,0.11447954398997391,-0.1291170858207059
LUNR,0.22209999,74,0.5206254528209773,0.02549658040859995,-0.010609898321217615,0.44594594594594594,0.17128125301296176,-0.09184230241930104,1.0735847878515572,-0.4237694796281197,0.06006217740235396,-0.02436998764731385,0.4594594594594595,0.28105710247203564,-0.13106000913525687,2.002732107484044,-0.5177433756947548,0.08978417966584187,0.0,0.4864864864864865,0.35298394300134306,-0.1684275736882237,2.6032786698150425,-0.47133757381430685,0.12538596447167308,0.029591537787906463,0.5405405405405406,0.4067969611642585,-0.2056857963431333,2.9249999850988386,-0.5004549694763469,0.3398499177978429,-0.1555067707021119
RKLB,0.0387,83,0.5005002335558686,0.02973833046313342,0.015945369883898275,0.5542168674698795,0.1092330590062719,-0.0710122023846787,0.3983629067785297,-0.20817115226032412,0.06247278898767832,0.05575874165894534,0.6144578313253012,0.1612195855567161,-0.09490491804422566,0.7358170424743593,-0.2863706435395541,0.09787990868375225,0.09230760040670538,0.7228915662650602,0.18830879762598426,-0.13802154073076595,1.1541066579304395,-0.35068918301878516,0.14273169011790718,0.12467533271777986,0.6987951807228916,0.2567455174010024,-0.12178038917887378,1.217959890305007,-0.36623340410741856,0.2229746621644632,-0.09014849579453339
ASTS,0.18360001,74,0.5081939496397915,0.032720293459990384,-0.011576708914637024,0.4594594594594595,0.1878063627957695,-0.09910286547542187,0.956411524059565,-0.3138686314306973,0.07452469146964116,-0.004013969496722947,0.47297297297297297,0.30694845952570415,-0.13406074140118468,2.518828233586752,-0.38123757225367505,0.096062756959012,-0.007291894231335416,0.47297297297297297,0.3790347145575821,-0.15788643575765351,2.899581291105381,-0.49838187852086957,0.13831380586630412,-0.001240123762659917,0.5,0.4457537424931366,-0.16912613076052835,3.1757318427550736,-0.5032362429582607,0.29161978740371447,-0.15055641427429803
TSLA,0.0185,83,0.511015575074854,0.0008019652552666006,-0.004754129854271261,0.4578313253012048,0.061483977116175974,-0.050440622538390184,0.2782494249037497,-0.16243847133704437,0.007124331569997473,-0.0056535459823188194,0.4819277108433735,0.08871118804713399,-0.0687704186412923,0.38211032202374184,-0.21192861868595392,0.01768755867402744,0.0064076697900368185,0.5180722891566265,0.11788029038805946,-0.09001962791855699,0.38620047541659996,-0.25856048002725196,0.02514008211963513,-0.006292181724514068,0.4939759036144578,0.1346454739338202,-0.08175803846087885,0.4214903842360951,-0.2883913918968012,0.10386433198047575,-0.09101174475008655
NVDA,0.0107,85,0.5012807274094953,0.005249564521589854,-0.00288415182128976,0.4823529411764706,0.05057302361714997,-0.0369836587265457,0.16377022910263705,-0.14597506895629886,0.01611686591474964,0.005010519051215301,0.5411764705882353,0.07374416926910887,-0.051853799580135626,0.27433385419899303,-0.16923081168691623,0.026965140054268012,0.005093234491480025,0.5411764705882353,0.10314332438013742,-0.06288605171470617,0.3651461763004302,-0.1686370838060215,0.04967570789388366,0.03225646360696666,0.611764705882353,0.12691277411773133,-0.07203118433763389,0.4121432949007826,-0.21645846987924255,0.09914518363916937,-0.06890741926061136
AMD,0.021300001,70,0.4972505514664561,0.009805525925937683,-0.002988805047644316,0.4857142857142857,0.0701279784916979,-0.04716567927505807,0.4362539201766489,-0.14790975240836468,0.01929645744111435,-0.0025383696725923555,0.5,0.11147153837856656,-0.07287862349633788,0.4641968573420874,-0.2228771696766635,0.025932110031782415,0.006628963456642434,0.5142857142857142,0.13945555100313836,-0.09426918040847679,0.48309298148838065,-0.2502919092950996,0.033845102257877756,0.005807646326043803,0.5285714285714286,0.15255292036062987,-0.09925154228157154,0.6116699922287256,-0.24550895135598194,0.11543887168002398,-0.08350163921009274
NFLX,0.0214,75,0.49994591216455253,0.006909379440551266,0.004077746932717341,0.5866666666666667,0.03045618981726408,-0.02651189980381531,0.18546045127011013,-0.07189278996368009,0.012177033589165656,0.00864647451781475,0.56,0.05102170138712984,-0.037261634517334226,0.1699243951116749,-0.11696534490200838,0.008844899830707045,0.0019655760358026075,0.52,0.06342009385065889,-0.05027822702424077,0.19884294196860286,-0.15474281868446682,0.014190912659248746,0.01830605124909801,0.5733333333333334,0.07259489763872545,-0.06428944215692306,0.2104350676346527,-0.1871274614437095,0.06018763262606497,-0.04889893817606348
